46292.00ms : -0.38;-0.87;0.05;-15.44;7.75;26.98
46312.00ms : -0.34;-0.84;0.05;-23.74;1.77;30.15
46332.00ms : -0.26;-0.92;-0.04;-30.76;-4.15;42.30
46352.00ms : -0.31;-0.93;-0.14;-46.20;-2.75;61.40
46372.00ms : -0.32;-1.08;-0.01;-83.50;-6.53;50.23
46392.00ms : -0.24;-1.10;-0.03;-107.36;-11.90;21.79
46412.00ms : -0.24;-1.02;-0.01;-126.59;-10.50;1.04
46432.00ms : -0.26;-0.90;0.09;-137.76;-20.02;-12.45
46452.00ms : -0.30;-0.84;0.03;-147.89;-21.06;-29.48
46472.00ms : -0.16;-0.89;-0.07;-166.44;-5.68;-59.81
46492.00ms : -0.00;-0.77;0.00;-189.33;12.82;-101.07
46512.00ms : 0.01;-0.55;0.04;-190.06;18.31;-125.12
46532.00ms : -0.17;-0.42;0.29;-191.96;-2.56;-141.97
46552.00ms : -0.26;-0.31;0.22;-193.91;-25.57;-156.13
46572.00ms : -0.28;-0.21;0.15;-184.94;-15.14;-163.70
46592.00ms : -0.24;-0.07;0.20;-194.89;-13.31;-170.29
46612.00ms : -0.21;-0.11;0.26;-199.16;-11.54;-182.01
46632.00ms : -0.26;-0.07;0.24;-172.42;-19.65;-195.56
46652.00ms : -0.24;0.23;0.15;-171.81;-15.44;-200.38
46672.00ms : -0.22;0.56;0.26;-187.93;-25.21;-176.57
46692.00ms : -0.38;0.64;0.32;-175.05;-37.96;-140.93
46712.00ms : -0.34;0.53;0.28;-161.25;-48.58;-130.07
46732.00ms : -0.28;0.53;0.24;-152.77;-53.41;-123.72
46752.00ms : -0.29;0.70;0.25;-137.82;-59.88;-110.29
46772.00ms : -0.53;0.80;0.08;-120.18;-57.07;-88.99
46792.00ms : -0.50;0.68;0.11;-128.05;-45.17;-79.35
46812.00ms : -0.40;0.68;0.15;-128.30;-54.50;-81.05
46832.00ms : -0.50;0.55;0.01;-132.08;-59.02;-102.36
46852.00ms : -0.50;0.56;-0.19;-98.33;-25.27;-136.05
46872.00ms : -0.44;0.88;0.01;-81.24;-5.37;-149.23
46892.00ms : -0.42;1.05;0.03;-70.56;-2.81;-148.80
46912.00ms : -0.34;1.14;0.01;-68.42;4.82;-152.89
46932.00ms : -0.38;1.40;0.06;-52.73;14.65;-144.78
46952.00ms : -0.45;1.67;0.22;-11.35;26.61;-103.52
46972.00ms : -0.40;1.71;0.29;24.05;21.00;-48.28
46992.00ms : -0.39;1.65;0.28;69.76;21.79;7.32
47012.00ms : -0.36;1.57;0.31;103.76;13.18;46.26
47032.00ms : -0.39;1.52;0.36;133.54;3.48;83.74
47052.00ms : -0.37;1.44;0.32;158.51;-7.39;120.79
47072.00ms : -0.36;1.29;0.21;170.59;-14.40;149.35
47092.00ms : -0.33;1.16;0.22;178.47;-15.26;172.61
47112.00ms : -0.34;1.15;0.29;202.64;-21.61;198.79
47132.00ms : -0.31;1.09;0.32;212.28;-44.07;232.12
47152.00ms : -0.25;0.99;0.22;213.75;-69.89;269.10
47172.00ms : -0.19;0.65;0.12;213.44;-87.22;295.29
47192.00ms : -0.19;0.46;0.02;208.50;-95.64;302.43
47212.00ms : -0.20;0.37;-0.07;201.35;-84.17;310.06
47232.00ms : -0.22;0.29;0.02;197.20;-74.34;321.96
47252.00ms : -0.19;0.12;0.03;205.93;-82.58;341.74
47272.00ms : -0.08;0.15;0.10;170.65;-111.15;368.84
47292.00ms : -0.05;0.19;0.06;122.92;-140.20;413.94
47312.00ms : 0.04;-0.07;-0.18;109.25;-120.42;460.63
47332.00ms : 0.22;-0.48;-0.29;100.04;-81.42;451.29
47352.00ms : 0.34;-0.73;-0.27;94.12;-33.39;404.11
47372.00ms : 0.32;-0.75;-0.13;103.39;-1.04;351.26
47392.00ms : 0.36;-0.76;-0.10;105.22;14.10;303.53
47412.00ms : 0.39;-0.93;-0.11;105.10;22.40;243.84
47432.00ms : 0.37;-1.03;-0.20;126.77;47.91;182.25
47452.00ms : 0.35;-1.01;-0.22;141.78;68.79;130.98
47472.00ms : 0.29;-1.03;-0.22;131.53;66.59;96.68
47492.00ms : 0.30;-1.07;-0.29;106.14;51.70;77.76
47512.00ms : 0.46;-1.07;-0.36;78.86;41.44;71.23
47532.00ms : 0.48;-1.00;-0.24;76.97;40.95;59.14
47552.00ms : 0.45;-1.06;-0.18;91.92;21.18;43.64
47572.00ms : 0.47;-1.06;-0.36;102.78;10.80;35.71
47592.00ms : 0.39;-1.04;-0.46;80.63;-1.40;44.80
47612.00ms : 0.42;-1.27;-0.58;48.71;-2.69;42.48
47632.00ms : 0.48;-1.40;-0.56;46.88;11.17;10.80
47652.00ms : 0.47;-1.26;-0.51;46.20;25.27;-29.24
47672.00ms : 0.36;-1.03;-0.39;36.50;14.59;-37.96
47692.00ms : 0.42;-1.15;-0.42;11.35;-11.23;-27.59
47712.00ms : 0.48;-1.33;-0.47;-0.18;-19.29;-45.90
47732.00ms : 0.51;-1.26;-0.48;-1.83;-17.46;-80.81
47752.00ms : 0.45;-1.18;-0.49;-9.83;-22.03;-99.12
47772.00ms : 0.36;-1.24;-0.56;-30.27;-29.72;-103.76
47792.00ms : 0.36;-1.45;-0.63;-53.16;-27.65;-128.36
47812.00ms : 0.31;-1.41;-0.56;-71.29;-21.73;-170.41
47832.00ms : 0.11;-1.24;-0.65;-82.52;-22.52;-193.05
47852.00ms : 0.00;-1.22;-0.83;-97.53;10.80;-209.35
47872.00ms : -0.03;-1.22;-0.77;-107.36;61.65;-240.84
47892.00ms : -0.02;-1.23;-0.65;-104.80;106.69;-290.59
47912.00ms : 0.07;-1.08;-0.51;-109.92;139.71;-355.65
47932.00ms : 0.02;-0.65;-0.37;-106.32;164.31;-378.48
47952.00ms : -0.18;-0.34;-0.16;-96.01;171.57;-355.59
47972.00ms : -0.21;-0.14;-0.09;-94.24;179.38;-315.49
47992.00ms : -0.37;-0.10;0.19;-92.35;173.58;-273.32
48012.00ms : -0.47;-0.22;0.20;-89.66;159.85;-245.97
48032.00ms : -0.42;-0.36;0.13;-76.72;162.05;-247.99
48052.00ms : -0.36;-0.30;0.19;-70.01;173.46;-254.15
48072.00ms : -0.39;-0.08;0.27;-69.52;173.10;-249.45
48092.00ms : -0.38;-0.02;0.34;-72.27;169.68;-234.80
48112.00ms : -0.34;-0.06;0.35;-71.41;165.65;-226.50
48132.00ms : -0.27;-0.00;0.38;-65.98;165.77;-227.42
48152.00ms : -0.19;0.14;0.46;-69.27;157.23;-213.56
48172.00ms : -0.11;0.13;0.59;-78.43;119.08;-199.10
48192.00ms : -0.11;0.25;0.48;-87.28;85.63;-177.06
48212.00ms : -0.15;0.22;0.40;-100.46;66.41;-155.70
48232.00ms : -0.16;0.21;0.35;-105.04;66.10;-146.42
48252.00ms : -0.18;0.28;0.37;-100.71;70.43;-139.47
48272.00ms : -0.17;0.42;0.48;-100.16;65.49;-125.12
48292.00ms : -0.17;0.41;0.45;-99.00;57.98;-112.06
48312.00ms : -0.15;0.51;0.41;-90.52;64.03;-103.45
48332.00ms : -0.11;0.64;0.56;-82.15;59.57;-96.80
48352.00ms : -0.15;1.06;0.69;-66.47;38.45;-56.76
48372.00ms : -0.22;1.14;0.80;-34.48;18.31;-1.89
48392.00ms : -0.28;1.04;0.90;-4.88;-9.03;39.18
48412.00ms : -0.23;1.02;0.85;29.91;-41.26;61.77
48432.00ms : -0.24;1.04;0.78;64.39;-65.00;102.05
48452.00ms : -0.31;1.03;0.76;82.40;-97.84;149.60
48472.00ms : -0.34;1.02;0.70;98.45;-124.51;203.80
48492.00ms : -0.30;0.90;0.63;106.99;-148.99;254.46
48512.00ms : -0.25;0.77;0.56;113.40;-166.93;300.78
48532.00ms : -0.18;0.53;0.45;119.08;-178.10;334.66
48552.00ms : -0.13;0.28;0.32;119.93;-179.81;347.35
48572.00ms : -0.14;0.10;0.23;118.90;-178.96;347.72
48592.00ms : -0.15;-0.06;0.13;106.57;-177.49;342.65
48612.00ms : -0.16;-0.27;-0.05;88.32;-162.66;332.21
48632.00ms : -0.21;-0.43;-0.06;72.33;-141.54;315.31
48652.00ms : -0.25;-0.49;-0.02;54.81;-132.75;296.75
48672.00ms : -0.29;-0.44;-0.03;44.43;-129.15;293.58
48692.00ms : -0.28;-0.47;-0.03;29.24;-121.52;298.71
48712.00ms : -0.21;-0.73;-0.10;23.50;-105.90;290.77
48732.00ms : -0.18;-0.90;-0.14;29.17;-77.21;254.46
48752.00ms : -0.16;-1.01;-0.13;39.79;-45.23;207.15
48772.00ms : -0.18;-0.98;-0.09;47.36;-20.20;161.25
48792.00ms : -0.14;-0.96;-0.05;53.47;-6.35;129.76
48812.00ms : -0.14;-1.00;-0.01;45.47;-11.90;106.20
48832.00ms : -0.09;-0.98;-0.06;44.86;-9.70;85.69
48852.00ms : -0.19;-0.91;-0.01;53.16;-12.88;77.94
48872.00ms : -0.28;-0.78;-0.03;59.27;-26.43;77.39
48892.00ms : -0.31;-0.67;-0.13;55.36;-35.58;105.71
48912.00ms : -0.28;-0.69;-0.20;50.42;-40.28;146.18
48932.00ms : -0.14;-0.91;-0.29;48.46;-34.61;167.11
48952.00ms : -0.07;-1.01;-0.31;50.84;-21.97;160.52
48972.00ms : 0.04;-1.10;-0.31;55.18;-6.84;141.91
48992.00ms : 0.13;-1.18;-0.28;56.76;4.33;110.53
49012.00ms : 0.16;-1.17;-0.26;53.59;6.23;85.21
49032.00ms : 0.20;-1.18;-0.29;47.67;8.12;63.05
49052.00ms : 0.24;-1.21;-0.34;32.71;14.34;45.23
49072.00ms : 0.22;-1.26;-0.33;27.53;16.11;25.27
49092.00ms : 0.29;-1.30;-0.40;18.13;22.34;1.16
49112.00ms : 0.27;-1.24;-0.33;10.99;24.84;-17.33
49132.00ms : 0.27;-1.19;-0.29;3.85;11.84;-24.23
49152.00ms : 0.24;-1.18;-0.38;-4.76;1.65;-22.09
49172.00ms : 0.22;-1.36;-0.42;-18.01;-1.53;-36.56
49192.00ms : 0.20;-1.41;-0.50;-33.02;6.59;-71.53
49212.00ms : 0.27;-1.49;-0.52;-42.85;18.13;-111.27
49232.00ms : 0.15;-1.36;-0.59;-55.54;40.04;-144.53
49252.00ms : 0.07;-1.24;-0.52;-77.21;62.62;-174.13
49272.00ms : 0.08;-1.29;-0.50;-90.52;81.67;-205.51
49292.00ms : 0.16;-1.27;-0.41;-85.57;101.20;-245.00
49312.00ms : 0.12;-1.08;-0.39;-100.71;117.61;-265.93
49332.00ms : 0.09;-0.95;-0.26;-101.32;132.57;-282.10
49352.00ms : 0.02;-0.73;-0.14;-93.75;139.28;-287.66
49372.00ms : -0.04;-0.52;-0.01;-79.16;141.30;-273.38
49392.00ms : -0.18;-0.33;0.08;-68.79;137.63;-245.24
49412.00ms : -0.33;-0.21;0.17;-69.34;126.04;-206.67
49432.00ms : -0.40;-0.26;0.23;-77.58;104.49;-181.82
