30899.00ms : 1.00;-0.19;-0.36;-3.85;-1.95;-7.75
30919.00ms : 0.98;-0.24;-0.34;-6.35;-2.26;-6.29
30939.00ms : 0.93;-0.21;-0.34;-7.81;0.18;-6.77
30959.00ms : 0.96;-0.27;-0.38;-20.20;0.55;1.22
30979.00ms : 0.92;-0.25;-0.35;-26.79;1.28;-0.43
30999.00ms : 0.95;-0.18;-0.39;-29.79;2.38;-1.16
31019.00ms : 1.01;-0.13;-0.39;-24.29;3.11;-7.20
31039.00ms : 1.03;-0.20;-0.36;-17.15;-0.37;-3.66
31059.00ms : 1.02;-0.22;-0.41;-16.78;-2.62;-4.15
31079.00ms : 1.01;-0.18;-0.39;-9.09;-2.26;-7.69
31099.00ms : 0.99;-0.21;-0.38;-5.37;-3.54;-5.80
31119.00ms : 0.94;-0.28;-0.35;-3.91;-4.15;-5.74
31139.00ms : 0.97;-0.28;-0.37;-7.81;-4.94;-5.49
31159.00ms : 0.97;-0.22;-0.37;-8.48;-4.76;-6.71
31179.00ms : 0.98;-0.20;-0.37;-5.74;-3.97;-6.71
31199.00ms : 0.98;-0.20;-0.37;-3.05;-4.46;-8.12
31219.00ms : 0.98;-0.17;-0.37;-2.32;-4.33;-7.32
31239.00ms : 0.97;-0.25;-0.35;-2.69;-4.52;-6.16
31259.00ms : 0.99;-0.25;-0.35;-4.76;-4.88;-9.58
31279.00ms : 0.97;-0.18;-0.32;-6.29;-5.68;-11.54
31299.00ms : 0.96;-0.20;-0.35;-5.37;-5.00;-11.11
31319.00ms : 1.00;-0.22;-0.34;-3.30;-6.65;-10.93
31339.00ms : 0.98;-0.23;-0.36;-1.28;-7.81;-8.61
31359.00ms : 0.95;-0.32;-0.35;-4.15;-6.04;-8.79
31379.00ms : 0.95;-0.37;-0.33;-6.96;-5.74;-12.02
31399.00ms : 0.98;-0.33;-0.33;-11.47;-6.53;-14.71
31419.00ms : 0.97;-0.19;-0.37;-10.25;-7.02;-13.85
31439.00ms : 0.98;-0.21;-0.35;-2.50;-7.63;-12.27
31459.00ms : 0.98;-0.30;-0.32;1.40;-8.91;-13.73
31479.00ms : 0.96;-0.33;-0.32;0.06;-9.95;-13.98
31499.00ms : 0.96;-0.31;-0.32;-0.79;-10.93;-14.04
31519.00ms : 1.03;-0.29;-0.30;-2.32;-11.17;-14.77
31539.00ms : 1.02;-0.30;-0.28;-2.75;-12.39;-18.86
31559.00ms : 0.99;-0.25;-0.29;-2.01;-13.43;-19.78
31579.00ms : 1.11;-0.22;-0.20;4.15;-18.49;-23.93
31599.00ms : 1.18;-0.20;0.06;22.77;-42.30;-34.85
31619.00ms : 1.19;0.02;-0.23;51.39;-51.27;-48.95
31639.00ms : 1.23;0.24;-0.36;74.71;-50.66;-37.72
31659.00ms : 1.19;0.02;-0.31;92.83;-52.31;-34.36
31679.00ms : 1.15;-0.18;-0.34;99.37;-60.55;-40.10
31699.00ms : 1.08;-0.22;-0.35;98.94;-69.46;-46.08
31719.00ms : 1.07;-0.21;-0.45;114.75;-78.37;-49.07
31739.00ms : 1.14;-0.17;-0.56;132.26;-86.24;-45.90
31759.00ms : 1.17;-0.13;-0.58;151.92;-93.08;-40.22
31779.00ms : 1.14;-0.25;-0.60;174.32;-98.39;-33.94
31799.00ms : 1.14;-0.31;-0.63;181.46;-107.73;-28.08
31819.00ms : 1.19;-0.34;-0.77;191.41;-119.87;-15.26
31839.00ms : 1.18;-0.30;-0.83;210.51;-132.75;-2.08
31859.00ms : 1.14;-0.33;-0.87;237.43;-145.08;10.25
31879.00ms : 1.07;-0.39;-0.93;263.31;-156.25;17.70
31899.00ms : 1.00;-0.49;-0.97;279.54;-166.44;21.00
31919.00ms : 0.98;-0.54;-0.98;286.13;-178.47;23.01
31939.00ms : 0.95;-0.58;-1.02;290.65;-189.70;26.79
31959.00ms : 0.84;-0.70;-1.05;289.86;-195.31;25.63
31979.00ms : 0.72;-0.75;-1.03;284.91;-204.35;22.40
31999.00ms : 0.66;-0.76;-1.02;277.65;-214.90;18.55
32019.00ms : 0.62;-0.75;-1.02;268.55;-226.07;12.88
32039.00ms : 0.54;-0.69;-1.02;267.03;-236.08;10.99
32059.00ms : 0.51;-0.71;-1.04;271.97;-243.41;11.05
32079.00ms : 0.49;-0.77;-1.04;275.15;-247.31;9.89
