11180.00ms : -0.51;-0.83;-0.21;16.85;32.59;7.57
11200.00ms : -0.55;-0.81;-0.22;-2.87;36.32;4.70
11220.00ms : -0.62;-0.86;-0.24;-21.24;41.08;18.62
11240.00ms : -0.52;-0.96;-0.10;-22.46;51.27;8.00
11260.00ms : -0.53;-0.74;0.12;-12.57;20.14;-6.29
11280.00ms : -0.52;-0.77;0.02;-8.36;-12.27;-5.74
11300.00ms : -0.52;-0.86;-0.10;-5.86;-19.53;-8.85
11320.00ms : -0.53;-0.80;-0.12;-4.46;-13.73;-8.42
11340.00ms : -0.59;-0.77;-0.09;-3.36;-13.55;0.73
11360.00ms : -0.62;-0.76;-0.09;-1.77;-16.24;7.39
11380.00ms : -0.60;-0.87;-0.16;-12.02;-12.82;8.36
11400.00ms : -0.63;-0.94;-0.29;-20.75;4.03;-5.49
11420.00ms : -0.76;-1.07;-0.20;-35.10;11.05;-31.74
11440.00ms : -0.86;-0.93;0.01;-32.17;-27.77;-46.75
11460.00ms : -0.80;-0.83;-0.38;-37.41;-61.58;-10.56
11480.00ms : -0.98;-0.80;-0.61;-46.08;-35.71;41.26
11500.00ms : -0.84;-0.95;-0.58;-74.58;-19.04;71.78
11520.00ms : -0.69;-1.02;-0.46;-117.92;-19.04;64.39
11540.00ms : -0.51;-0.93;-0.43;-166.08;-17.82;44.74
11560.00ms : -0.33;-0.84;-0.53;-183.59;6.84;21.61
11580.00ms : -0.39;-0.67;-0.31;-202.33;46.08;20.08
11600.00ms : -0.43;-0.55;-0.03;-224.67;35.83;28.69
11620.00ms : -0.32;-0.52;0.04;-272.95;4.52;18.01
11640.00ms : -0.18;-0.17;0.30;-313.48;-49.87;-9.95
11660.00ms : -0.04;-0.40;0.10;-285.95;-74.46;-0.18
11680.00ms : -0.12;-0.44;0.10;-278.26;-54.20;-25.27
11700.00ms : -0.20;-0.44;0.05;-251.10;-35.64;-53.77
11720.00ms : -0.22;-0.31;0.08;-237.18;-17.88;-93.44
11740.00ms : -0.16;-0.17;0.11;-239.56;-7.75;-146.85
11760.00ms : -0.24;0.14;0.42;-231.14;-9.83;-203.12
11780.00ms : -0.40;0.46;0.25;-182.50;-2.87;-217.83
11800.00ms : -0.52;0.67;0.25;-147.89;29.97;-213.75
11820.00ms : -0.43;0.79;0.43;-117.61;59.45;-205.20
11840.00ms : -0.42;0.91;0.59;-92.41;67.32;-195.92
11860.00ms : -0.55;1.25;0.57;-64.27;75.01;-163.76
